iter	Passed	Remaining
398	124567	187631
399	124900	187350
400	125236	187073
401	125594	186828
402	125880	186478
403	126165	186125
404	126475	185810
405	126791	185502
406	127086	185164
407	127377	184822
408	127647	184448
409	127993	184185
410	128282	183839
411	128553	183469
412	128821	183095
413	129124	182770
414	129445	182471
415	129772	182180
416	130086	181871
417	130364	181512
418	130667	181187
419	130916	180789
420	131202	180442
421	131511	180127
422	131850	179853
423	132090	179443
424	132364	179081
425	132664	178753
426	132958	178419
427	133254	178087
428	133529	177728
429	133814	177382
430	134081	177012
431	134426	176745
432	134702	176388
433	134983	176037
434	135293	175725
435	135574	175375
436	135874	175051
437	136128	174667
438	136430	174345
439	136700	173981
440	137065	173740
441	137350	173397
442	137678	173107
443	137998	172808
444	138253	172428
445	138533	172079
446	138842	171767
447	139136	171435
448	139423	171096
449	139764	170822
450	140066	170502
451	140328	170132
452	140659	169847
453	140917	169472
454	141194	169123
455	141514	168823
456	141797	168481
457	142064	168119
458	142347	167777
459	142640	167448
460	142949	167136
461	143223	166784
462	143473	166404
463	143826	166144
464	144112	165807
465	144424	165498
466	144705	165156
467	145037	164871
468	145353	164568
469	145695	164294
470	145966	163940
471	146397	163766
472	146858	163624
473	147154	163298
474	147477	163001
475	147804	162709
476	148101	162383
477	148376	162034
478	148717	161757
479	148986	161402
480	149325	161123
481	149642	160818
482	149935	160489
483	150216	160147
484	150507	159817
485	150827	159517
486	151112	159179
487	151401	158847
488	151697	158522
489	151977	158180
490	152228	157809
491	152547	157508
492	152824	157164
493	153088	156807
494	153375	156473
495	153648	156126
496	153915	155773
497	154253	155492
498	154573	155193
499	154799	154799
500	155157	154537
501	155425	154187
502	155720	153863
503	156045	153568
504	156377	153281
505	156687	152971
506	156949	152615
507	157275	152322
508	157589	152016
509	157877	151685
510	158159	151350
511	158454	151027
512	158705	150661
513	159014	150352
514	159340	150058
515	159766	149858
516	160082	149555
517	160366	149221
518	160638	148877
519	160896	148520
520	161215	148219
521	161500	147887
522	161849	147614
523	162120	147270
524	162447	146976
525	162737	146649
526	163109	146395
527	163412	146080
528	163686	145739
529	163961	145400
530	164231	145055
531	164496	144707
532	164830	144419
533	165101	144077
534	165372	143734
535	165700	143442
536	165972	143101
537	166214	142733
538	166481	142389
539	166813	142100
540	167113	141783
541	167416	141470
542	167775	141203
543	168020	140840
544	168273	140485
545	168527	140130
546	168824	139812
547	169106	139482
548	169426	139182
549	169736	138875
550	169938	138480
551	170223	138152
552	170529	137842
553	170843	137537
554	171106	137193
555	171370	136849
556	171674	136538
557	171954	136207
558	172246	135886
559	172576	135596
560	172885	135288
561	173142	134940
562	173480	134655
563	173841	134388
564	174128	134063
565	174405	133731
566	174665	133386
567	174994	133094
568	175264	132757
569	175552	132434
570	175907	132161
571	176286	131906
572	176617	131615
573	176979	131346
574	177242	131005
575	177471	130638
576	177734	130297
577	178064	130005
578	178426	129736
579	178698	129402
580	178950	129053
581	179243	128735
582	179538	128417
583	179822	128092
584	180134	127787
585	180445	127482
586	180737	127162
587	181000	126823
588	181345	126541
589	181647	126229
590	181989	125945
591	182257	125609
592	182524	125274
593	182778	124929
594	183023	124578
595	183303	124252
596	183606	123942
597	183888	123617
598	184230	123332
599	184519	123012
600	184828	122706
601	185096	122372
602	185384	122052
603	185671	121731
604	186013	121446
605	186325	121142
606	186620	120826
607	186946	120531
608	187238	120213
609	187544	119905
610	187823	119579
611	188124	119268
612	188387	118933
613	188700	118629
614	188973	118300
615	189329	118023
616	189631	117712
617	189964	117421
618	190254	117103
619	190592	116814
620	190852	116478
621	191184	116185
622	191474	115868
623	191737	115533
624	191974	115184
625	192263	114866
626	192580	114565
627	192853	114237
628	193151	113925
629	193422	113597
630	193670	113255
631	193987	112955
632	194309	112656
633	194602	112341
634	194919	112040
635	195230	111735
636	195542	111431
637	195801	111097
638	196119	110796
639	196360	110452
640	196616	110117
641	196906	109801
642	197179	109475
643	197485	109168
644	197793	108862
645	198093	108552
646	198473	108286
647	198718	107945
648	199055	107655
649	199356	107345
