iter	MultiClass
0	0.9751444145
1	0.8773492665
2	0.7999871171
3	0.7365472157
4	0.6816184709
5	0.6320115766
6	0.5893141236
7	0.5564581565
8	0.5242047135
9	0.4974138536
10	0.4681279204
11	0.4458038954
12	0.4270102359
13	0.4080597582
14	0.3923291396
15	0.37307353
16	0.3603908345
17	0.3472803466
18	0.3338057117
19	0.3235414677
20	0.3129111631
21	0.3013900054
22	0.2946964227
23	0.287795961
24	0.2813700102
25	0.2716816325
26	0.2653901584
27	0.2579328814
28	0.2525839699
29	0.2466807141
30	0.240464862
31	0.234748159
32	0.2298036541
33	0.2222128778
34	0.2158998723
35	0.2129346339
36	0.2075436033
37	0.204613431
38	0.200314806
39	0.1947410019
40	0.1913241772
41	0.1861649543
42	0.1821053896
43	0.1790172732
44	0.1745439828
45	0.1707863233
46	0.1665940047
47	0.1625966369
48	0.1610723222
49	0.158487337
50	0.1558509893
51	0.1521731366
52	0.1507707019
53	0.1488364626
54	0.1462870586
55	0.1431952033
56	0.1399316923
57	0.1368646787
58	0.1342110474
59	0.1317433354
60	0.1292594414
61	0.1264635355
62	0.1241161974
63	0.1225709984
64	0.1193387385
65	0.1180307451
66	0.1164917392
67	0.1155780563
68	0.1140636547
69	0.1129004564
70	0.1112422374
71	0.1098004525
72	0.1081628157
73	0.1069279377
74	0.1052043323
75	0.1033307583
76	0.10175098
77	0.1010078	0.378	0.1000479	0.379	0.0979380	0.3780	0.09617414115
81	0.09451448897
82	0.09364113094
83	0.09091996816
84	0.09003732112
85	0.08854040513
86	0.08771400466
87	0.08512642488
88	0.08440613556989	0.08306174919190	0.08190390676
91	0.0809784265
92	0.0800794	0.3293	0.078995	0.32294	0.07770916981
95	0.0797	0.3134196	0.098	0.3101497	0.099	0.30767398	0.100	0.3057099	0.0101	0.30231100	0.102	0.298442101	0103	0.2963022102	104	0.29389935103105	0.29305828210106	0.29025237121107	0.2855681984
108	0.2822801275
109	0.2791095909
110	0.2757209597
111	0.2737798433
112	0.2709116234
113	0.2694878977
114	0.2663258458
115	0.2639996912
116	0.2607420267
117	0.2582848143
118	0.255743144
119	0.2536870409
120	0.2508246241
121	0.2485161994
122	0.2456249196
123	0.2426155492
124	0.240005369
125	0.237715447
126	0.2345155069
127	0.2318697258
128	0.2303531402
129	0.2272510558
130	0.2259788145
131	0.2233970186
132	0.2206770507
133	0.2176202618
134	0.2155227908
135	0.2128183677
136	0.210981584
137	0.2084375356
138	0.2073890731
139	0.205025418
140	0.2031027877
141	0.2023308814
142	0.2004155328
143	0.1990853811
144	0.1972412206
145	0.1952833699
146	0.193641647
147	0.1919716719
148	0.1900194048
149	0.1883227504
150	0.1858404296
151	0.1841443935
152	0.1823166896
153	0.1807149741
154	0.1791867349
155	0.1782062238
156	0.1761464088
157	0.1744386239
158	0.1732346841
159	0.1718841689
160	0.1702629515
161	0.1682550242
162	0.1666074098
163	0.1646044426
164	0.1638962719
165	0.1625631161
166	0.1614488372
167	0.1601534257
168	0.1585894101
169	0.1574643422
170	0.1564697504
171	0.1548243543
172	0.1530386732
173	0.1519192781
174	0.1503367477
175	0.1490138995
176	0.1482196253
177	0.1466177337
178	0.1456174469
179	0.144501963
180	0.1432987135
181	0.142123765
182	0.1406086422
183	0.1394391464
184	0.1382829292
185	0.1373234106
186	0.1361264241
187	0.1348184555
188	0.1335138673
189	0.1325387185
190	0.131632875
191	0.1308954985
192	0.1295473944
193	0.1282102521
194	0.1277115662
195	0.1267271203
196	0.1254463149
197	0.1242792503
198	0.1235371626
199	0.1227137323
200	0.1218779339
201	0.1209989266
202	0.120367936
203	0.1191007111
204	0.1178608802
205	0.1168993822
206	0.1157913525
207	0.1149700099
208	0.1144440699
209	0.1137567054
210	0.1128171033
211	0.1119444924
212	0.1108128541
213	0.1097477315
214	0.1088705746
215	0.1081851958
216	0.1071906377
217	0.106085565
218	0.1053095844
219	0.1046150281
220	0.1041230929
221	0.1037414853
222	0.1028499734
223	0.1021013216
224	0.1018087844
225	0.1009507542
226	0.1002772871
227	0.09950278334
228	0.0984144519
229	0.09771887207
230	0.09694208967
231	0.09603865283
232	0.095296081
233	0.09457460521
234	0.09424589582
235	0.0933838978
236	0.09261508915
237	0.09164626832
238	0.09131207087
239	0.09042303332
240	0.08989898651
241	0.08923909529
242	0.08898056026
243	0.08802089338
244	0.08734907206
245	0.08653416895
246	0.08575886202
247	0.08496102229
248	0.08421659981
249	0.08376308745
250	0.08315772637
251	0.08274082735
252	0.08220234947
253	0.08176804976
254	0.08117566681
255	0.0806579585
256	0.08010003204
257	0.079596641
258	0.07917805239
259	0.0786568873
260	0.07807560859
261	0.0778453528
262	0.07753700119
263	0.07709103072
264	0.07678872193
265	0.07636203671
266	0.07587752929
267	0.07531222584
268	0.07469036497
269	0.07419371157
270	0.07363977409
271	0.07311803744
272	0.07291434637
273	0.07219890403
274	0.0715835374
275	0.07086704683
276	0.07048335106
277	0.07013548981
278	0.06979784523
279	0.06937394652
280	0.06883409165
281	0.06833213385
282	0.06778388987
283	0.06749696354
284	0.06709712105
285	0.06668787461
286	0.06644665641
287	0.06623217033
288	0.06584466561
289	0.06540794524
290	0.06495669458
291	0.0643885296
292	0.06399391572
293	0.0636935464
294	0.06334151001
295	0.06306145789
296	0.06283964598
297	0.06249240926
298	0.06225446194
299	0.06204270312
300	0.06171352218
301	0.06141616761
302	0.06107743789
303	0.06091665796
304	0.06045282501
305	0.06018624599
306	0.05972406342
307	0.05951874453
308	0.05916089374
309	0.05872078333
310	0.05842950498
311	0.05811214922
312	0.05771312587
